"Age","Gender","Education","Employment","F.Chat","Purp.Chat","F.Google","Purp.Google","F.Google","Purp.Google","AVG.MGT","AVG.MGP","AVG.TGT","AVG.TGP","F.Chat","Purp.Chat","AVG.MCT","AVG.MCP","AVG.TCT","AVG.TCP"
24,2,2,1,2,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice; ","3,36","4,6","4","3,83",2,"Professional purposes; Recommendations","3,36","3,8","4,64","5"
26,2,2,3,1,"Professional purposes; Self-development; Recommendations",2,"Recommendations; Medical advice",2,"Recommendations; Medical advice","2,73","2,8","3,73","2,84",1,"Professional purposes; Self-development; Recommendations","2,55","2,4","3,64","3,8"
26,2,2,3,1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","2,27","2,4","2,18","2,88",1,"Educational purposes; Professional purposes; Recommendations","3,55","4","4,09","4,8"
32,1,2,3,1,"Professional purposes; Self-development; Recommendations",2,"Professional purposes; Self-development; Recommendations",2,"Professional purposes; Self-development; Recommendations","1,73","1,8","2,82","2,35",1,"Professional purposes; Self-development; Recommendations","2,82","2,6","4,18","4,2"
26,1,1,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,73","1,4","3,82","3,03",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3","4,2","3,27","2,4"
26,2,2,3,3,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","4,09","4,4","3,82","3,32",3,"Educational purposes; Professional purposes; Recommendations","1,91","2,4","3,73","4"
26,1,3,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,55","4,8","4","4,29",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","4,09","5","4,27","5"
25,2,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Recommendations; Medical advice",1,"Recommendations; Medical advice","3,73","3,8","3,91","3,95",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,91","4,4","4,82","5"
25,2,3,3,2,"Educational purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,82","3,8","4","3,72",2,"Educational purposes; Recommendations","3,36","3,6","2,91","3,2"
26,1,2,3,2,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,45","3,4","3,64","3,26",2,"Educational purposes; Self-development; Recommendations","2,82","3","3,64","3,6"
30,1,2,3,1,"Educational purposes; Professional purposes",1,"Daily searching about stuff",1,"Daily searching about stuff","2,18","1,8","3,82","3",1,"Educational purposes; Professional purposes","4","3,2","4,27","4,8"
26,1,1,3,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Recommendations; Medical advice","3,82","3,8","3,45","3,51",1,"Educational purposes; Professional purposes; Self-development","3,45","3","3,91","5"
28,1,2,3,1,"Educational purposes; Professional purposes; Recommendations; Cooking; touristic advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","1,82","1,8","3,36","2,42",1,"Educational purposes; Professional purposes; Recommendations; Cooking; touristic advice","2,73","2,4","3,55","3,8"
23,2,2,2,1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,36","1,8","3,64","2,68",1,"Educational purposes; Professional purposes; Recommendations","3","2,6","3,82","3,8"
27,2,3,3,2,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,45","3,6","2,73","3,58",2,"Professional purposes; Recommendations","3,91","4,2","4,45","4,4"
23,1,3,2,4,"none",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3,82","3,4","3,82","3,45",4,"none","3","3,2","2,64","2,6"
26,1,4,2,2,"Educational purposes; Translation and grammar correction",1,"Educational purposes; Professional purposes",1,"Educational purposes; Professional purposes","2,82","3","4,09","3,24",2,"Educational purposes; Translation and grammar correction","2,91","3,4","3,45","3,8"
22,1,2,2,1,"Educational purposes; Professional purposes; Recommendations",1,"Professional purposes; As a base platform from which to access all of my daily apps (gmail; moodle; youtube)",1,"Professional purposes; As a base platform from which to access all of my daily apps (gmail; moodle; youtube)","3,36","4","3,82","3,24",1,"Educational purposes; Professional purposes; Recommendations","2,82","2,2","4,64","4,6"
23,1,2,2,4,"Educational purposes",1,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations","3,64","4","4,27","3,39",4,"Educational purposes","2,82","2,2","4","3,2"
23,2,1,1,4,"Professional purposes",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","1,55","2","2,18","2,2",4,"Professional purposes","3,09","2,2","3,27","3"
27,1,2,1,1,"Self-development",2,"Self-development",2,"Self-development","2,55","2,6","3,18","2,77",1,"Self-development","2,73","2,8","2,55","3,2"
22,1,2,2,2,"Educational purposes; Recommendations; Leisure",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","3,09","3,8","3,64","3,73",2,"Educational purposes; Recommendations; Leisure","3,91","4,2","4,45","5"
24,2,2,2,1,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,18","3,2","4","3,13",1,"Educational purposes; Self-development","3,09","2,2","2","1,4"
23,2,2,2,2,"Educational purposes; Self-development",1,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Self-development; Recommendations","2,09","2,4","3,55","2,39",2,"Educational purposes; Self-development","1,91","2","4,45","4,2"
23,2,3,2,2,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","3,55","4","4,27","3,43",2,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","2,4","4,27","3,8"
23,1,1,2,1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,91","3","3,09","3,02",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,09","3","2,64","2,8"
23,1,1,1,2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","3,73","4","3,91","3,28",2,"Educational purposes; Professional purposes; Self-development; Recommendations; Medical advice","2,18","2,6","2,55","2,6"
24,2,2,2,1,"Educational purposes; Self-development; Recommendations; Medical advice",1,"Educational purposes; General Knoewledge",1,"Educational purposes; General Knoewledge","2,45","3,4","3,82","3,48",1,"Educational purposes; Self-development; Recommendations; Medical advice","3,73","4","3,36","3,4"
22,1,2,1,2,"Educational purposes",1,"Educational purposes",1,"Educational purposes","2,09","2","4","2,44",2,"Educational purposes","2,09","2","2,55","2,6"
26,1,3,2,4,"",2,"Self-development",2,"Self-development","2,64","2,4","2,73","3,29",4,"","3,91","4,8","3,09","3,6"
30,1,3,3,2,"Educational purposes; Professional purposes; Self-development; Recommendations",2,"Educational purposes; Professional purposes; Recommendations; Medical advice",2,"Educational purposes; Professional purposes; Recommendations; Medical advice","4","4","3,45","4,03",2,"Educational purposes; Professional purposes; Self-development; Recommendations","4,09","4,6","3,73","3,8"
24,1,2,2,4,"Quick access to information / Context translation",1,"Educational purposes; Recommendations",1,"Educational purposes; Recommendations","2,73","3,2","3,55","2,79",4,"Quick access to information / Context translation","2,09","2,4","2,73","2,2"
32,2,2,3,1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,27","2,6","3,18","2,62",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,45","2,6","3,36","3,4"
26,1,2,3,2,"Professional purposes; Self-development",4,"Professional purposes; Self-development",4,"Professional purposes; Self-development","2,64","3,2","3,27","3,02",2,"Professional purposes; Self-development","3,18","2,8","2,55","2,8"
26,1,3,2,2,"Educational purposes; Self-development",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","2,73","2,8","4,27","3,43",2,"Educational purposes; Self-development","3,55","3,8","1,91","1,6"
24,2,2,3,1,"Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations",1,"Educational purposes; Professional purposes; Recommendations","3","2,6","3,91","3,23",1,"Professional purposes; Recommendations","3,64","3","3,55","3,2"
34,1,2,3,2,"Educational purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Recommendations; Medical advice",1,"Educational purposes; Professional purposes; Recommendations; Medical advice","2,45","2,8","3,55","3,53",2,"Educational purposes; Self-development; Recommendations","4,45","4,4","4,36","4,6"
25,1,2,3,1,"Educational purposes; Professional purposes; Self-development",1,"Educational purposes; Professional purposes; Self-development; Recommendations",1,"Educational purposes; Professional purposes; Self-development; Recommendations","2,91","3","3,91","3,2",1,"Educational purposes; Professional purposes; Self-development","3,18","3","3,82","4,2"
29,1,3,3,1,"Professional purposes",1,"Professional purposes",1,"Professional purposes","3,09","3","2,64","2,88",1,"Professional purposes","3,09","2,6","3,64","3,4"
